Bank Name / Type,Number of Beneficiaries at rural/semiurban centre bank branches,Number of Beneficiaries at urban metro centre bank branches,Number of Total Beneficiaries,Deposits in Accounts(In lac),Number of Rupay Debit Cards issued to beneficiaries,level,date
"Bank of India",6436280,7517503,13953783,205564.34,12910784,"(A) Public Sector Banks","2016-08-31"
"Bank of India",2507803,815505,3323308,32268.86,3202089,"(B) Regional Rural Bank","2016-08-31"
"Bank of India",6539700,7603888,14143588,208360.8,13087317,"(A) Public Sector Banks","2016-09-07"
"Bank of India",2522759,819565,3342324,32504.89,3202089,"(B) Regional Rural Bank","2016-09-07"
"Bank of India",6613488,7670139,14283627,213197.51,13084288,"(A) Public Sector Banks","2016-09-14"
"Bank of India",2532090,822060,3354150,32745.92,3202089,"(B) Regional Rural Bank","2016-09-14"
"Bank of India",6683357,7728370,14411727,214668.51,13082881,"(A) Public Sector Banks","2016-09-21"
"Bank of India",2549603,826302,3375905,32955.36,3202089,"(B) Regional Rural Bank","2016-09-21"
"Bank of India",6757414,7789626,14547040,216421.04,13078045,"(A) Public Sector Banks","2016-09-28"
"Bank of India",2567737,832024,3399761,33326.12,3202089,"(B) Regional Rural Bank","2016-09-28"
"Bank of India",6833620,7861025,14694645,220456.56,13150535,"(A) Public Sector Banks","2016-10-05"
"Bank of India",2582019,835660,3417679,33632.2,3202089,"(B) Regional Rural Bank","2016-10-05"
"Bank of India",6912200,7932857,14845057,224305.75,13245431,"(A) Public Sector Banks","2016-10-19"
"Bank of India",2604291,840385,3444676,33784.13,3202089,"(B) Regional Rural Bank","2016-10-19"
"Bank of India",6978757,7990138,14968895,226039,13309135,"(A) Public Sector Banks","2016-10-26"
"Bank of India",2612904,843117,3456021,33891.35,3202089,"(B) Regional Rural Bank","2016-10-26"
"Bank of India",7017064,8019496,15036560,227692.76,13347975,"(A) Public Sector Banks","2016-11-02"
"Bank of India",2617465,844284,3461749,33954.81,3202089,"(B) Regional Rural Bank","2016-11-02"
"Bank of India",7054864,8050493,15105357,233341.7,13352208,"(A) Public Sector Banks","2016-11-09"
"Bank of India",2627059,846841,3473900,34091.48,3202089,"(B) Regional Rural Bank","2016-11-09"
"Bank of India",7071495,8065720,15137215,342842.87,13385450,"(A) Public Sector Banks","2016-11-16"
"Bank of India",2627964,847087,3475051,50782.24,3202089,"(B) Regional Rural Bank","2016-11-16"
"Bank of India",7090507,8091635,15182142,374230.73,13383763,"(A) Public Sector Banks","2016-11-23"
"Bank of India",2635233,845636,3480869,69762.49,3202089,"(B) Regional Rural Bank","2016-11-23"
"Bank of India",7116255,8130761,15247016,378551.56,13381903,"(A) Public Sector Banks","2016-11-30"
"Bank of India",2640026,847357,3487383,71044.89,3202089,"(B) Regional Rural Bank","2016-11-30"
"Bank of India",7173134,8214345,15387479,379452.53,13516439,"(A) Public Sector Banks","2016-12-07"
"Bank of India",2648371,850501,3498872,71968.89,3202089,"(B) Regional Rural Bank","2016-12-07"
"Bank of India",7231907,8307540,15539447,383395.2,14123225,"(A) Public Sector Banks","2016-12-14"
"Bank of India",2659111,853832,3512943,72111.89,3202089,"(B) Regional Rural Bank","2016-12-14"
"Bank of India",7303783,8420704,15724487,381569.59,15031962,"(A) Public Sector Banks","2016-12-21"
"Bank of India",2673290,859111,3532401,72080.89,3202089,"(B) Regional Rural Bank","2016-12-21"
"Bank of India",7369319,8513861,15883180,379388.69,15190609,"(A) Public Sector Banks","2016-12-28"
"Bank of India",2691452,863574,3555026,72703.89,3202089,"(B) Regional Rural Bank","2016-12-28"
"Bank of India",7447836,8622882,16070718,373470.51,15337563,"(A) Public Sector Banks","2017-01-04"
"Bank of India",2708448,871378,3579826,72984.89,3202089,"(B) Regional Rural Bank","2017-01-04"
"Bank of India",7517672,8718508,16236180,371170.05,15498099,"(A) Public Sector Banks","2017-01-11"
"Bank of India",2724243,877934,3602177,72707.89,3202089,"(B) Regional Rural Bank","2017-01-11"
"Bank of India",7570026,8789023,16359049,369966.94,15581767,"(A) Public Sector Banks","2017-01-18"
"Bank of India",2736264,883720,3619984,72234.89,3202092,"(B) Regional Rural Bank","2017-01-18"
"Bank of India",7630661,8858538,16489199,368136.38,15577430,"(A) Public Sector Banks","2017-01-25"
"Bank of India",2746119,890625,3636744,72150.89,3202089,"(B) Regional Rural Bank","2017-01-25"
"Bank of India",7535956,8623571,16159527,341165.16,15633034,"(A) Public Sector Banks","2017-02-01"
"Bank of India",2759374,895131,3654505,72175.89,3202089,"(B) Regional Rural Bank","2017-02-01"
"Bank of India",7553332,8644378,16197710,337169,15856682,"(A) Public Sector Banks","2017-02-08"
"Bank of India",2770928,899129,3670057,71891.89,3202089,"(B) Regional Rural Bank","2017-02-08"
"Bank of India",7628538,8725762,16354300,340818.28,15851661,"(A) Public Sector Banks","2017-02-22"
"Bank of India",2791335,907489,3698824,72259.76,3323319,"(B) Regional Rural Bank","2017-02-22"
"Bank of India",7664026,8743933,16407959,340194.11,15891240,"(A) Public Sector Banks","2017-03-01"
"Bank of India",2798350,911135,3709485,71950.79,3411099,"(B) Regional Rural Bank","2017-03-01"
"Bank of India",7713307,8796558,16509865,340406.47,15927739,"(A) Public Sector Banks","2017-03-08"
"Bank of India",2805881,914425,3720306,70378.79,3520827,"(B) Regional Rural Bank","2017-03-08"
"Bank of India",7743719,8829582,16573301,342369.93,15971012,"(A) Public Sector Banks","2017-03-15"
"Bank of India",2809316,915763,3725079,70294.48,3557564,"(B) Regional Rural Bank","2017-03-15"
"Bank of India",7795739,8875099,16670838,341790.38,16020236,"(A) Public Sector Banks","2017-03-22"
"Bank of India",2815891,917991,3733882,69255.79,3569165,"(B) Regional Rural Bank","2017-03-22"
"Bank of India",7836523,8910316,16746839,343646.44,16013373,"(A) Public Sector Banks","2017-03-29"
"Bank of India",2821105,919708,3740813,69987.79,3590701,"(B) Regional Rural Bank","2017-03-29"
"Bank of India",7863903,8935660,16799563,346614.17,16033618,"(A) Public Sector Banks","2017-04-05"
"Bank of India",2824695,920560,3745255,70353.79,3601467,"(B) Regional Rural Bank","2017-04-05"
"Bank of India",7903889,8965506,16869395,344758.94,16058588,"(A) Public Sector Banks","2017-04-12"
"Bank of India",2830017,922399,3752416,70276.28,3662083,"(B) Regional Rural Bank","2017-04-12"
"Bank of India",7937954,8968915,16906869,341881.53,16052526,"(A) Public Sector Banks","2017-04-19"
"Bank of India",2832292,924581,3756873,70670.8,3580890,"(B) Regional Rural Bank","2017-04-19"
"Bank of India",7973491,8998342,16971833,341792.5,16068549,"(A) Public Sector Banks","2017-04-26"
"Bank of India",2836902,925327,3762229,72037.83,3580890,"(B) Regional Rural Bank","2017-04-26"
"Bank of India",8006250,9025166,17031416,341760.23,16061754,"(A) Public Sector Banks","2017-05-03"
"Bank of India",2840479,925843,3766322,72953.56,3580890,"(B) Regional Rural Bank","2017-05-03"
